src/chess/Cell.java:10:	Avoid unused imports such as 'theme.Theme'
src/chess/Cell.java:20:	Avoid short class names like Cell
src/chess/Cell.java:24:	Avoid excessively long variable names like isPossibleDestination
src/chess/Cell.java:24:	Field isPossibleDestination has the same name as a method
src/chess/Cell.java:24:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:24:	fieldCommentRequirement Required
src/chess/Cell.java:25:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:25:	fieldCommentRequirement Required
src/chess/Cell.java:26:	fieldCommentRequirement Required
src/chess/Cell.java:27:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:27:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:27:	To avoid mistakes add a comment at the beginning of the xAxisPosition field if you want a default access modifier
src/chess/Cell.java:27:	Use explicit scoping instead of the default package private level
src/chess/Cell.java:27:	fieldCommentRequirement Required
src/chess/Cell.java:28:	Avoid using redundant field initializer for 'isSelected'
src/chess/Cell.java:28:	Field isSelected has the same name as a method
src/chess/Cell.java:28:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:28:	fieldCommentRequirement Required
src/chess/Cell.java:29:	Avoid using redundant field initializer for 'isCheck'
src/chess/Cell.java:29:	Field isCheck has the same name as a method
src/chess/Cell.java:29:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:29:	fieldCommentRequirement Required
src/chess/Cell.java:33:	It is a good practice to call super() in a constructor
src/chess/Cell.java:33:	Parameter 'piece' is not assigned and could be declared final
src/chess/Cell.java:33:	Parameter 'xPosition' is not assigned and could be declared final
src/chess/Cell.java:33:	Parameter 'yPosition' is not assigned and could be declared final
src/chess/Cell.java:33:	publicMethodCommentRequirement Required
src/chess/Cell.java:48:	Overridable method 'setPiece' called during object construction
src/chess/Cell.java:52:	Comment is too large: Line too long
src/chess/Cell.java:53:	It is a good practice to call super() in a constructor
src/chess/Cell.java:53:	Parameter 'cell' is not assigned and could be declared final
src/chess/Cell.java:53:	publicMethodCommentRequirement Required
src/chess/Cell.java:66:	Avoid if (x != y) ..; else ..;
src/chess/Cell.java:67:	Overridable method 'setPiece' called during object construction
src/chess/Cell.java:69:	Assigning an Object to null is a code smell.  Consider refactoring.
src/chess/Cell.java:73:	Avoid variables with short names like p
src/chess/Cell.java:73:	Parameter 'p' is not assigned and could be declared final
src/chess/Cell.java:73:	publicMethodCommentRequirement Required
src/chess/Cell.java:77:	Local variable 'imgIcon' could be declared final
src/chess/Cell.java:77:	Unnecessary use of fully qualified name 'javax.swing.ImageIcon' due to existing import 'javax.swing.*'
src/chess/Cell.java:83:	publicMethodCommentRequirement Required
src/chess/Cell.java:86:	Assigning an Object to null is a code smell.  Consider refactoring.
src/chess/Cell.java:89:	Assigning an Object to null is a code smell.  Consider refactoring.
src/chess/Cell.java:94:	publicMethodCommentRequirement Required
src/chess/Cell.java:99:	publicMethodCommentRequirement Required
src/chess/Cell.java:104:	Avoid using implementation types like 'ArrayList'; use the interface instead
src/chess/Cell.java:104:	Parameter 'positionArray' is not assigned and could be declared final
src/chess/Cell.java:104:	Parameter 'xPosition' is not assigned and could be declared final
src/chess/Cell.java:104:	Parameter 'yPosition' is not assigned and could be declared final
src/chess/Cell.java:104:	publicMethodCommentRequirement Required
src/chess/Cell.java:108:	publicMethodCommentRequirement Required
src/chess/Cell.java:110:	A method should have only one exit point, and that should be the last statement in the method
src/chess/Cell.java:111:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/chess/Cell.java:112:	System.out.println is used
src/chess/Cell.java:117:	publicMethodCommentRequirement Required
src/chess/Cell.java:123:	publicMethodCommentRequirement Required
src/chess/Cell.java:128:	publicMethodCommentRequirement Required
src/chess/Cell.java:134:	publicMethodCommentRequirement Required
src/chess/Cell.java:140:	publicMethodCommentRequirement Required
